Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost,errorMessage
Asia,Sri Lanka,Fruits,Online,H,13/03/17,484823930,20/04/17,9030,9.33,6.92, Region.matches("Europe") == true failed
Asia,Indonesia,Baby Food,Offline,H,29/07/10,833098256,13/08/10,1142,255.28,159.42, Region.matches("Europe") == true failed
Asia,India,Personal Care,Offline,H,05/03/10,829856431,15/04/10,1814,81.73,56.67, Region.matches("Europe") == true failed
Asia,India,Vegetables,Offline,H,27/02/11,369167077,04/04/11,3597,154.06,90.93, Region.matches("Europe") == true failed
Asia,India,Baby Food,Offline,H,01/08/14,156325423,29/08/14,9021,255.28,159.42, Region.matches("Europe") == true failed
Asia,Sri Lanka,Personal Care,Offline,H,07/08/10,436330878,28/08/10,8858,81.73,56.67, Region.matches("Europe") == true failed
Asia,Indonesia,Office Supplies,Online,M,18/02/16,211837279,06/03/16,6213,651.21,524.96, Region.matches("Europe") == true failed
Asia,Indonesia,Vegetables,Online,H,10/06/15,174815499,26/07/15,646,154.06,90.93, Region.matches("Europe") == true failed
Asia,India,Snacks,Online,M,17/03/16,802643382,02/04/16,8868,152.58,97.44, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cosmetics,Online,M,23/05/12,429862678,09/06/12,4774,437.2,263.33, Region.matches("Europe") == true failed
Asia,Sri Lanka,Clothes,Online,H,21/06/17,395687901,22/06/17,1698,109.28,35.84, Region.matches("Europe") == true failed
Asia,India,Baby Food,Offline,M,02/01/13,327396714,11/02/13,2818,255.28,159.42, Region.matches("Europe") == true failed
Asia,India,Cosmetics,Online,M,17/03/15,965667188,03/05/15,1235,437.2,263.33, Region.matches("Europe") == true failed
Asia,Indonesia,Office Supplies,Offline,M,26/02/13,983185660,04/04/13,5340,651.21,524.96, Region.matches("Europe") == true failed
Asia,Indonesia,Baby Food,Offline,H,18/07/16,793878781,11/08/16,5228,255.28,159.42, Region.matches("Europe") == true failed
Asia,India,Snacks,Online,H,03/02/10,476497066,13/03/10,4925,152.58,97.44, Region.matches("Europe") == true failed
Asia,India,Beverages,Online,M,29/10/16,577301776,02/11/16,5279,47.45,31.79, Region.matches("Europe") == true failed
Asia,India,Cosmetics,Online,H,29/03/11,635151660,15/04/11,4346,437.2,263.33, Region.matches("Europe") == true failed
Asia,India,Household,Online,M,26/02/17,278114020,02/04/17,8974,668.27,502.54, Region.matches("Europe") == true failed
Asia,India,Meat,Online,H,08/01/11,951109874,02/02/11,3402,421.89,364.69, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cosmetics,Online,M,08/05/14,230113208,25/05/14,4467,437.2,263.33, Region.matches("Europe") == true failed
Asia,Indonesia,Cosmetics,Offline,M,21/04/12,286753737,11/05/12,5658,437.2,263.33, Region.matches("Europe") == true failed
Asia,India,Cosmetics,Online,H,18/09/10,889031112,01/10/10,2917,437.2,263.33, Region.matches("Europe") == true failed
Asia,Sri Lanka,Fruits,Online,H,06/08/11,951248919,16/09/11,4549,9.33,6.92, Region.matches("Europe") == true failed
Asia,Indonesia,Personal Care,Offline,H,03/03/13,661985337,21/03/13,5027,81.73,56.67, Region.matches("Europe") == true failed
